,Item,Facet_1,Facet_2,Prompt_1,Prompt_2,HEXACO_1,HEXACO_2,Idx_1,Idx_2,is_rev_1,is_rev_2,X1,Factor,Pos.Cosine,Neg.Cosine,STS.Cosine,Distinct.Cosine,Prompt,Internal.Consistency,Cos.Diff,ABS.Cosine.Diff,K_Means,H_Cluster,Internal.STS,Internal.Distinct,Cluster.STS,SYNTAX/SEMANTICS,ENTAILMENT,CONTEXT
1,I think I can do something to change the world.,Aesthetic_Appreciation,Unconventionality,"If I had the opportunity, I would like to attend a classical music concert.",I like people who have unconventional views.,"If I had the opportunity, I would like to attend a classical music concert.",I like people who have unconventional views.,49,43,TRUE,TRUE,5990,Openness to Experience,0.309209406,0.065426812,0.278301299,0.014186829,"If I had the opportunity, I would like to attend a classical music concert. I like people who have unconventional views. I",0.231800005,0.243782595,0.243782595,0,59,0.257585824,0.034579471,0.566342771,NA,NA,NA
2,I want to be the most powerful person in the world.,Fairness,Greed_Avoidance,"If I knew that I could never get caught, I would be willing to steal a million dollars.","I would like to live in a very expensive, high-class neighborhood.","If I knew that I could never get caught, I would be willing to steal a million dollars.","I would like to live in a very expensive, high-class neighborhood.",12,42,TRUE,FALSE,787,Honesty_Humility,0.254595429,0.332587153,0.332587332,0.076583102,"If I knew that I could never get caught, I would be willing to steal a million dollars. I would like to live in a very expensive, high-class neighborhood. I",0.247999996,-0.077991724,0.077991724,0,67,0.301088095,0.05710189,0.605998278,NA,NA,NA
3,I have a strong desire to make a difference in the world.,Liveliness,Sociability,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,46,64,FALSE,TRUE,3373,Extraversion,0.351465821,0.313181043,0.331320137,0.046791136,"On most days, I feel cheerful and optimistic. I prefer jobs that involve active social interaction to those that involve working alone. I",0.299800009,0.038284779,0.038284779,0,67,0.307833165,0.049428821,0.521685183,NA,NA,NA
4,I want to make a difference in the world.,Organization,Diligence,I clean my office or home quite frequently.,"When working, I often set ambitious goals for myself.",I clean my office or home quite frequently.,"When working, I often set ambitious goals for myself.",2,8,FALSE,FALSE,5006,Conscientiousness,0.223054856,0.287481904,0.287481934,-0.028853774,"I clean my office or home quite frequently. When working, I often set ambitious goals for myself. I",0.235499993,-0.064427048,0.064427048,0,67,0.313847333,0.024625272,0.563818693,NA,NA,NA
5,I know I'm right about the things that I want to change.,Flexibility,Patience,I find it hard to compromise with people when I really think I’m right.,Most people tend to get angry more quickly than I do.,I find it hard to compromise with people when I really think I’m right.,Most people tend to get angry more quickly than I do.,87,69,TRUE,TRUE,3955,Agreeableness,0.076181106,0.191244557,0.147366941,0.032025874,I find it hard to compromise with people when I really think I’m right. Most people tend to get angry more quickly than I do. I,0.333000004,-0.115063451,0.115063451,1,89,0.222676247,0.079176337,0.211560085,NA,NA,NA
6,I enjoy the process of learning about new technologies.,Liveliness,Sociability,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,46,64,FALSE,TRUE,3364,Extraversion,0.320196152,0.195323139,0.224845529,0.041966021,"On most days, I feel cheerful and optimistic. I prefer jobs that involve active social interaction to those that involve working alone. I",0.248999998,0.124873012,0.124873012,0,112,0.241890058,0.083649412,0.550629735,NA,NA,NA
7,I have an interest in technology.,Creativity,Inquisitiveness,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",I'm interested in learning about the history and politics of other countries.,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",I'm interested in learning about the history and politics of other countries.,37,7,TRUE,FALSE,6401,Openness to Experience,0.368974388,0.167320251,0.247616395,0.051561847,"I would enjoy creating a work of art, such as a novel, a song, or a painting. I'm interested in learning about the history and politics of other countries. I",0.282599986,0.201654136,0.201654136,0,112,0.341460526,0.094222501,0.555669308,NA,NA,NA
8,I'm more interested in the stories behind the technologies.,Creativity,Inquisitiveness,I don't think of myself as the artistic or creative type.,I would be very bored by a book about the history of science and technology.,I don't think of myself as the artistic or creative type.,I would be very bored by a book about the history of science and technology.,85,55,TRUE,FALSE,6649,Openness to Experience,0.373991907,0.153431863,0.260271847,0.081614494,I don't think of myself as the artistic or creative type. I would be very bored by a book about the history of science and technology. I,0.230800003,0.220560044,0.220560044,0,112,0.283986628,0.091691583,0.550629735,NA,NA,NA
9,I'm much more interested in how we use technology to enhance our lives.,Creativity,Inquisitiveness,I don't think of myself as the artistic or creative type.,I would be very bored by a book about the history of science and technology.,I don't think of myself as the artistic or creative type.,I would be very bored by a book about the history of science and technology.,85,55,TRUE,FALSE,6655,Openness to Experience,0.376108408,0.190880135,0.32127443,0.048805416,I don't think of myself as the artistic or creative type. I would be very bored by a book about the history of science and technology. I,0.2104,0.185228273,0.185228273,0,112,0.322949976,0.061215639,0.594642282,NA,NA,NA
10,I'm just not comfortable talking about my life.,Fearfulness,Dependence,Even in an emergency I wouldn't feel like panicking.,I rarely discuss my problems with other people.,Even in an emergency I wouldn't feel like panicking.,I rarely discuss my problems with other people.,77,89,FALSE,FALSE,2306,Emotionality,0.499222279,0.517229676,0.49922204,0.096324146,Even in an emergency I wouldn't feel like panicking. I rarely discuss my problems with other people. I,0.3398,-0.018007398,0.018007398,2,326,0.387830436,0.11108166,0.763546824,NA,NA,NA
